,adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
0,False,/9faGSFi5jam6pDWGNd0p8JcJgXQ.jpg,"[18, 80]",1396,['US'],en,Breaking Bad,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",519.223,/ztkUQFLlC19CCMYHW9o1zWhJRNq.jpg,2008-01-20,Breaking Bad,8.899,12998
1,False,/rkB4LyZHo1NHXFEDHl9vSD9r1lI.jpg,"[16, 18, 10765, 10759]",94605,['US'],en,Arcane,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",265.072,/fqldf2t8ztc9aiwn3k6mlX3tvRT.jpg,2021-11-06,Arcane,8.743,3569
2,False,/2rmK7mnchw9Xr3XdiTFSxTTLXqv.jpg,"[10759, 35, 16]",37854,['JP'],ja,ワンピース,"Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates.

Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way.

Luffy will do anything to get the One Piece and become King of the Pirates!",213.857,/cMD9Ygz11zjJzAovURpO75Qg7rT.jpg,1999-10-20,One Piece,8.729,4283
3,False,/rBF8wVQN8hTWHspVZBlI3h7HZJ.jpg,"[16, 35, 10765, 10759]",60625,['US'],en,Rick and Morty,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",878.185,/gdIrmf2DdY5mgN6ycVP0XlzKzbE.jpg,2013-12-02,Rick and Morty,8.7,9092
4,False,/kU98MbVVgi72wzceyrEbClZmMFe.jpg,"[16, 10759, 10765]",246,['US'],en,Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",85.584,/cHFZA8Tlv03nKTGXhLOYOLtqoSm.jpg,2005-02-21,Avatar: The Last Airbender,8.699,3681
5,False,/A6tMQAo6t6eRFCPhsrShmxZLqFB.jpg,"[10759, 16, 10765, 35, 18]",31911,['JP'],ja,鋼の錬金術師 FULLMETAL ALCHEMIST,"Disregard for alchemy’s laws ripped half of Ed Elric’s limbs from his body and left Al’s soul clinging to a suit of armor. To restore what was lost, the brothers seek the Philosopher’s Stone. Enemies and allies – the corrupt military, the Homunculi, and foreign alchemists – will alter the Elric’s course, but their purpose will remain unchanged and their bond unbreakable.",234.396,/5ZFUEOULaVml7pQuXxhpR2SmVUw.jpg,2009-04-05,Fullmetal Alchemist: Brotherhood,8.692,1851
6,False,/70YdbMELM4b8x8VXjlubymb2bQ0.jpg,"[18, 10751]",70785,['CA'],en,Anne with an E,"A coming-of-age story about an outsider who, against all odds and numerous challenges, fights for love and acceptance and for her place in the world. The series centers on a young orphaned girl in the late 1890’s, who, after an abusive childhood spent in orphanages and the homes of strangers, is mistakenly sent to live with an elderly woman and her aging brother. Over time, 13-year-old Anne will transform their lives and eventually the small town in which they live with her unique spirit, fierce intellect and brilliant imagination.",214.917,/6P6tXhjT5tK3qOXzxF9OMLlG7iz.jpg,2017-03-19,Anne with an E,8.689,4474
7,False,/nTvM4mhqNlHIvUkI1gVnW6XP7GG.jpg,"[16, 10759, 10765]",85937,['JP'],ja,鬼滅の刃,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",101.819,/xUfRZu2mi8jH6SzQEJGP6tjBuYj.jpg,2019-04-06,Demon Slayer: Kimetsu no Yaiba,8.674,5858
8,False,/dfmPbyeZZSz3bekeESvMJaH91gS.jpg,"[16, 10765, 10759, 18]",95557,['US'],en,Invincible,"Mark Grayson is a normal teenager except for the fact that his father is the most powerful superhero on the planet. Shortly after his seventeenth birthday, Mark begins to develop powers of his own and enters into his father’s tutelage.",609.035,/dMOpdkrDC5dQxqNydgKxXjBKyAc.jpg,2021-03-25,Invincible,8.664,4036
9,False,/uACJw45EEkB5mfFw4SgMtgZgBBJ.jpg,"[16, 10765, 10759]",1429,['JP'],ja,進撃の巨人,"Several hundred years ago, humans were nearly exterminated by Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest Titans. Flash forward to the present and the city has not seen a Titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a Colossal Titan that appears out of thin air. As the smaller Titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single Titan and take revenge for all of mankind.",105.31,/hTP1DtLGFamjfu8WqjnuQdP1n4i.jpg,2013-04-07,Attack on Titan,8.663,5848
